direccion  valor (hex)
0x         0 0xfd010113
0x         4 0x02812623
0x         8 0x03010413
0x        12 0x0000b7b7
0x        16 0xbcd78793
0x        20 0xfef42623
0x        24 0x00500793
0x        28 0xfef42423
0x        32 0x00600793
0x        36 0xfef42223
0x        40 0x00300793
0x        44 0xfef42023
0x        48 0xfc042e23
0x        52 0xfe842703
0x        56 0xfe442783
0x        60 0x00f70733
0x        64 0xfe042783
0x        68 0x40f707b3
0x        72 0xfcf42e23
0x        76 0xfec42783
0x        80 0xfe042703
0x        84 0x00e7a023
0x        88 0x00000793
0x        92 0x00000000
0x        96 0x00000000
0x       100 0x00000000
0x       104 0x00000000
0x       108 0x00000000
0x       112 0x00000000
0x       116 0x00000000
0x       120 0x00000000
0x       124 0x00000000
0x       128 0x00000000
0x       132 0x00000000
0x       136 0x00000000
0x       140 0x00000000
0x       144 0x00000000
0x       148 0x00000000
0x       152 0x00000000
0x       156 0x00000000
0x       160 0x00000000
0x       164 0x00000000
0x       168 0x00000000
0x       172 0x00000000
0x       176 0x00000000
0x       180 0x00000000
0x       184 0x00000000
0x       188 0x00000000
0x       192 0x00000000
0x       196 0x00000000
0x       200 0x00000000
0x       204 0x00000000
0x       208 0x00000000
0x       212 0x00000000
0x       216 0x00000000
0x       220 0x00000000
0x       224 0x00000000
0x       228 0x00000000
0x       232 0x00000000
0x       236 0x00000000
0x       240 0x00000000
0x       244 0x00000000
0x       248 0x00000000
0x       252 0x00000000
